index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
4286,1166,2022/6/24,1045,228.94,229.44,228.76,228.77,-0.000131119,568,泸州老窖
4287,1167,2022/6/24,1050,228.8,229.08,228.28,228.28,-0.002141889,568,泸州老窖
4288,1168,2022/6/24,1055,228.5,229.2,228.2,228.38,0.000438059,568,泸州老窖
4289,1169,2022/6/24,1100,228.44,229.26,227.66,228.92,0.00236448,568,泸州老窖
4290,1170,2022/6/24,1105,229,229.25,227.73,228.26,-0.002883103,568,泸州老窖
4291,1171,2022/6/24,1110,228.21,228.32,227.81,227.92,-0.001489529,568,泸州老窖
4292,1172,2022/6/24,1115,227.92,228.25,227.6,227.68,-0.001053001,568,泸州老窖
4293,1173,2022/6/24,1120,227.72,228.35,227.66,228,0.001405481,568,泸州老窖
4294,1174,2022/6/24,1125,228,228.65,227.92,228,0,568,泸州老窖
4295,1175,2022/6/24,1130,228.01,228.02,226,227.09,-0.003991228,568,泸州老窖
4296,1176,2022/6/24,1305,227.23,228.83,227.15,228.63,0.006781452,568,泸州老窖
4297,1177,2022/6/24,1310,228.47,229.69,228,229.54,0.00398023,568,泸州老窖
4298,1178,2022/6/24,1315,229.37,229.37,228.49,228.5,-0.004530801,568,泸州老窖
4299,1179,2022/6/24,1320,228.59,229.3,228.5,228.82,0.001400438,568,泸州老窖
4300,1180,2022/6/24,1325,228.81,228.81,228.04,228.18,-0.002796958,568,泸州老窖
4301,1181,2022/6/24,1330,228.19,228.45,228,228.21,0.000131475,568,泸州老窖
4302,1182,2022/6/24,1335,228.36,228.37,228,228.19,-8.76E-05,568,泸州老窖
4303,1183,2022/6/24,1340,228.08,229,228.08,228.91,0.003155265,568,泸州老窖
4304,1184,2022/6/24,1345,228.93,229.69,228.91,229.63,0.003145341,568,泸州老窖
4305,1185,2022/6/24,1350,229.63,230.5,229.63,230.02,0.001698384,568,泸州老窖
4306,1186,2022/6/24,1355,230.02,231,230.02,230.98,0.00417355,568,泸州老窖
4307,1187,2022/6/24,1400,230.98,231.19,230.3,230.95,-0.000129881,568,泸州老窖
4308,1188,2022/6/24,1405,230.96,231.24,230.96,231.2,0.001082485,568,泸州老窖
4309,1189,2022/6/24,1410,231.19,231.2,230.8,231.14,-0.000259516,568,泸州老窖
4310,1190,2022/6/24,1415,231.13,231.19,231.02,231.15,4.33E-05,568,泸州老窖
4311,1191,2022/6/24,1420,231.14,231.18,230.67,231.08,-0.000302834,568,泸州老窖
4312,1192,2022/6/24,1425,231.1,231.5,231.1,231.39,0.001341527,568,泸州老窖
4313,1193,2022/6/24,1430,231.32,231.32,230.52,231,-0.001685466,568,泸州老窖
4314,1194,2022/6/24,1435,230.98,230.98,229.34,229.34,-0.007186147,568,泸州老窖
4315,1195,2022/6/24,1440,229.18,229.55,229.04,229.55,0.000915671,568,泸州老窖
4316,1196,2022/6/24,1445,229.55,229.7,229.22,229.32,-0.00100196,568,泸州老窖
4317,1197,2022/6/24,1450,229.3,229.54,229.1,229.54,0.000959358,568,泸州老窖
4318,1198,2022/6/24,1455,229.54,229.98,229.4,229.89,0.001524789,568,泸州老窖
4319,1199,2022/6/24,1500,229.89,230,229.3,230,0.00047849,568,泸州老窖
4320,1200,2022/6/27,935,230.88,235.8,230.66,235.8,0.025217391,568,泸州老窖
4321,1201,2022/6/27,940,235.77,238.73,235.68,238.15,0.009966073,568,泸州老窖
4322,1202,2022/6/27,945,238.15,238.34,236.88,238.08,-0.000293932,568,泸州老窖
4323,1203,2022/6/27,950,238.1,238.28,235.5,236.31,-0.007434476,568,泸州老窖
4324,1204,2022/6/27,955,236.5,237.4,236.5,236.87,0.002369769,568,泸州老窖
4325,1205,2022/6/27,1000,236.89,239,236.89,238.97,0.008865622,568,泸州老窖
4326,1206,2022/6/27,1005,238.97,239.5,238.9,239.12,0.000627694,568,泸州老窖
4327,1207,2022/6/27,1010,238.75,239,237.89,238.72,-0.0016728,568,泸州老窖
4328,1208,2022/6/27,1015,238.7,238.8,237.6,237.8,-0.003853887,568,泸州老窖
4329,1209,2022/6/27,1020,237.81,237.81,237.14,237.59,-0.000883095,568,泸州老窖
4330,1210,2022/6/27,1025,237.68,238.71,237.68,238.29,0.002946252,568,泸州老窖
